period,series_id,category,measure,loan_product,rate_pct,source_url
2025-11,V122667820,Corporate credit,Funds advanced,Non-residential mortgages,4.47,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667820,Corporate credit,Funds advanced,Non-residential mortgages,4.41,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667820,Corporate credit,Funds advanced,Non-residential mortgages,4.37,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667820,Corporate credit,Funds advanced,Non-residential mortgages,4.4,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667821,Corporate credit,Outstanding balances,"Business loans, Total",4.78,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667821,Corporate credit,Outstanding balances,"Business loans, Total",4.7,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667821,Corporate credit,Outstanding balances,"Business loans, Total",4.69,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667821,Corporate credit,Outstanding balances,"Business loans, Total",4.69,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667821,Corporate credit,Outstanding balances,"Business loans, Total",4.66,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667822,Corporate credit,Outstanding balances,To regulated non-bank financial institutions,4.48,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667822,Corporate credit,Outstanding balances,To regulated non-bank financial institutions,4.36,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
